Season,Team,Matches_Played,Wins,Draws,Losses,Points,Goals_Scored,Goals_Conceded,Goal_Difference,Shots,Shots_On_Target,Fouls,Corners,Yellow_Cards,Red_Cards,xG_Per_Match,xGA_Per_Match,xG_Difference_Per_Match,Shots_Per_Match,Shots_On_Target_Per_Match,Fouls_Per_Match,Yellow_Cards_Per_Match,Red_Cards_Per_Match,Shot_Conversion_Percentage,Points_Per_Match
2017/18,Tottenham,38,23,8,7,77,74,36,38,622,217,384,246,49,2,1.8134210526315788,0.9436842105263158,0.869736842105263,16.36842105263158,5.7105263157894735,10.105263157894736,1.2894736842105263,0.05263157894736842,11.89710610932476,2.026315789473684
2017/18,Liverpool,38,21,12,5,75,84,38,46,640,233,344,230,44,1,2.0392105263157894,0.9407894736842105,1.0984210526315787,16.842105263157894,6.131578947368421,9.052631578947368,1.1578947368421053,0.02631578947368421,13.125,1.9736842105263157
2017/18,Chelsea,38,21,7,10,70,62,38,24,606,220,363,230,41,4,1.5568421052631578,0.8955263157894737,0.6613157894736841,15.947368421052632,5.7894736842105265,9.552631578947368,1.0789473684210527,0.10526315789473684,10.231023102310232,1.8421052631578947
2017/18,Arsenal,38,19,6,13,63,74,51,23,593,234,383,225,57,2,1.9018421052631578,1.2828947368421053,0.6189473684210525,15.605263157894736,6.157894736842105,10.078947368421053,1.5,0.05263157894736842,12.478920741989882,1.6578947368421053
2017/18,Burnley,38,14,12,12,54,36,39,-3,379,127,350,167,65,0,0.8623684210526317,1.3726315789473684,-0.5102631578947368,9.973684210526315,3.3421052631578947,9.210526315789474,1.7105263157894737,0.0,9.498680738786279,1.4210526315789473
2017/18,Everton,38,13,10,15,49,44,58,-14,360,122,459,150,51,3,1.1502631578947369,1.4605263157894737,-0.3102631578947368,9.473684210526315,3.210526315789474,12.078947368421053,1.3421052631578947,0.07894736842105263,12.222222222222221,1.2894736842105263
2017/18,Leicester,38,12,11,15,47,56,60,-4,422,148,365,203,52,5,1.3234210526315788,1.2989473684210526,0.024473684210526203,11.105263157894736,3.8947368421052633,9.605263157894736,1.368421052631579,0.13157894736842105,13.270142180094787,1.236842105263158
2017/18,Bournemouth,38,11,11,16,44,45,61,-16,467,158,339,218,55,1,1.0523684210526316,1.708684210526316,-0.6563157894736844,12.289473684210526,4.157894736842105,8.921052631578947,1.4473684210526316,0.02631578947368421,9.635974304068522,1.1578947368421053
2017/18,Crystal Palace,38,11,11,16,44,45,55,-10,475,151,425,209,71,0,1.493421052631579,1.4089473684210525,0.08447368421052648,12.5,3.973684210526316,11.18421052631579,1.868421052631579,0.0,9.473684210526317,1.1578947368421053
2017/18,Newcastle,38,12,8,18,44,39,47,-8,449,150,409,167,52,2,1.1744736842105263,1.3807894736842106,-0.20631578947368423,11.81578947368421,3.9473684210526314,10.763157894736842,1.368421052631579,0.05263157894736842,8.68596881959911,1.1578947368421053
2017/18,West Ham,38,10,12,16,42,48,68,-20,373,133,379,161,72,2,0.9684210526315788,1.5360526315789473,-0.5676315789473685,9.81578947368421,3.5,9.973684210526315,1.894736842105263,0.05263157894736842,12.868632707774799,1.105263157894737
2017/18,Watford,38,11,8,19,41,44,64,-20,440,132,441,184,63,4,1.2065789473684212,1.4205263157894736,-0.21394736842105244,11.578947368421053,3.473684210526316,11.605263157894736,1.6578947368421053,0.10526315789473684,10.0,1.0789473684210527
2017/18,Brighton,38,9,13,16,40,34,54,-20,383,118,413,163,54,2,0.9792105263157895,1.3968421052631579,-0.41763157894736835,10.078947368421053,3.1052631578947367,10.868421052631579,1.4210526315789473,0.05263157894736842,8.87728459530026,1.0526315789473684
2017/18,Huddersfield,38,9,10,19,37,28,58,-30,360,111,396,165,61,3,0.8455263157894738,1.4005263157894736,-0.5549999999999998,9.473684210526315,2.9210526315789473,10.421052631578947,1.605263157894737,0.07894736842105263,7.777777777777778,0.9736842105263158
2017/18,Southampton,38,7,15,16,36,37,56,-19,451,145,416,227,63,2,1.1021052631578947,1.2252631578947368,-0.12315789473684213,11.868421052631579,3.8157894736842106,10.947368421052632,1.6578947368421053,0.05263157894736842,8.2039911308204,0.9473684210526315
2017/18,Stoke,38,7,12,19,33,35,68,-33,382,131,436,136,62,1,0.9671052631578947,1.7247368421052633,-0.7576315789473687,10.052631578947368,3.4473684210526314,11.473684210526315,1.631578947368421,0.02631578947368421,9.162303664921465,0.868421052631579
2017/18,Swansea,38,8,9,21,33,28,56,-28,336,104,377,150,51,1,0.7818421052631579,1.6271052631578946,-0.8452631578947367,8.842105263157896,2.736842105263158,9.921052631578947,1.3421052631578947,0.02631578947368421,8.333333333333332,0.868421052631579
2017/18,West Brom,38,6,13,19,31,31,56,-25,375,114,440,176,72,1,0.9257894736842105,1.2892105263157896,-0.3634210526315791,9.868421052631579,3.0,11.578947368421053,1.894736842105263,0.02631578947368421,8.266666666666666,0.8157894736842105
2018/19,Man City,38,32,2,4,98,95,23,72,683,260,328,287,44,1,2.466315789473684,0.6771052631578948,1.7892105263157894,17.973684210526315,6.842105263157895,8.631578947368421,1.1578947368421053,0.02631578947368421,13.90922401171303,2.5789473684210527
2018/19,Liverpool,38,30,7,1,97,89,22,67,574,226,315,249,37,2,2.0910526315789473,0.7671052631578947,1.3239473684210525,15.105263157894736,5.947368421052632,8.289473684210526,0.9736842105263158,0.05263157894736842,15.505226480836237,2.5526315789473686
2018/19,Chelsea,38,21,9,8,72,63,39,24,606,198,339,215,49,0,1.683421052631579,1.0028947368421053,0.6805263157894736,15.947368421052632,5.2105263157894735,8.921052631578947,1.2894736842105263,0.0,10.396039603960396,1.894736842105263
2018/19,Tottenham,38,23,2,13,71,67,39,28,536,189,375,194,56,3,1.625,1.2934210526315788,0.3315789473684212,14.105263157894736,4.973684210526316,9.868421052631579,1.4736842105263157,0.07894736842105263,12.5,1.868421052631579
2018/19,Arsenal,38,21,7,10,70,73,51,22,466,170,412,212,72,2,1.7052631578947368,1.5078947368421052,0.19736842105263164,12.263157894736842,4.473684210526316,10.842105263157896,1.894736842105263,0.05263157894736842,15.665236051502147,1.8421052631578947
2018/19,Man United,38,19,9,10,66,65,54,11,526,225,433,200,73,4,1.8057894736842106,1.3763157894736842,0.42947368421052645,13.842105263157896,5.921052631578948,11.394736842105264,1.9210526315789473,0.10526315789473684,12.357414448669202,1.736842105263158
2018/19,Wolves,38,16,9,13,57,47,46,1,474,151,409,195,72,1,1.3963157894736842,1.1234210526315789,0.2728947368421053,12.473684210526315,3.973684210526316,10.763157894736842,1.894736842105263,0.02631578947368421,9.915611814345992,1.5
2018/19,Everton,38,15,9,14,54,54,46,8,495,169,432,215,55,4,1.4176315789473684,1.2976315789473685,0.11999999999999988,13.026315789473685,4.447368421052632,11.368421052631579,1.4473684210526316,0.10526315789473684,10.909090909090908,1.4210526315789473
2018/19,Leicester,38,15,7,16,52,51,48,3,515,184,351,210,57,5,1.3713157894736843,1.174736842105263,0.1965789473684212,13.552631578947368,4.842105263157895,9.236842105263158,1.5,0.13157894736842105,9.902912621359224,1.368421052631579
2018/19,West Ham,38,15,7,16,52,52,55,-3,441,157,331,187,59,1,1.2621052631578948,1.7278947368421052,-0.4657894736842103,11.605263157894736,4.131578947368421,8.710526315789474,1.5526315789473684,0.02631578947368421,11.791383219954648,1.368421052631579
2018/19,Watford,38,14,8,16,50,52,59,-7,434,151,433,177,77,4,1.361315789473684,1.6655263157894737,-0.3042105263157897,11.421052631578947,3.973684210526316,11.394736842105264,2.026315789473684,0.10526315789473684,11.981566820276496,1.3157894736842106
2018/19,Crystal Palace,38,14,7,17,49,51,53,-2,491,146,386,205,58,2,1.3326315789473684,1.3894736842105262,-0.056842105263157805,12.921052631578947,3.8421052631578947,10.157894736842104,1.5263157894736843,0.05263157894736842,10.386965376782078,1.2894736842105263
2018/19,Bournemouth,38,13,6,19,45,56,70,-14,447,163,339,191,60,1,1.5476315789473685,1.6426315789473684,-0.09499999999999997,11.763157894736842,4.2894736842105265,8.921052631578947,1.5789473684210527,0.02631578947368421,12.527964205816556,1.1842105263157894
2018/19,Newcastle,38,12,9,17,45,42,48,-6,444,142,422,181,57,2,1.0502631578947368,1.5144736842105262,-0.4642105263157894,11.68421052631579,3.736842105263158,11.105263157894736,1.5,0.05263157894736842,9.45945945945946,1.1842105263157894
2018/19,Burnley,38,11,7,20,40,45,68,-23,359,115,359,140,75,1,1.1773684210526316,1.7400000000000002,-0.5626315789473686,9.447368421052632,3.026315789473684,9.447368421052632,1.9736842105263157,0.02631578947368421,12.534818941504177,1.0526315789473684
2018/19,Southampton,38,9,12,17,39,45,65,-20,480,162,420,193,71,3,1.3071052631578948,1.5597368421052633,-0.25263157894736854,12.631578947368421,4.2631578947368425,11.052631578947368,1.868421052631579,0.07894736842105263,9.375,1.0263157894736843
2018/19,Brighton,38,9,9,20,36,35,60,-25,365,108,463,156,60,4,0.9744736842105264,1.6436842105263159,-0.6692105263157895,9.605263157894736,2.8421052631578947,12.18421052631579,1.5789473684210527,0.10526315789473684,9.58904109589041,0.9473684210526315
2018/19,Cardiff,38,10,4,24,34,34,69,-35,417,126,384,168,65,1,1.0992105263157896,1.75,-0.6507894736842104,10.973684210526315,3.3157894736842106,10.105263157894736,1.7105263157894737,0.02631578947368421,8.15347721822542,0.8947368421052632
2018/19,Fulham,38,7,5,26,26,34,81,-47,453,149,423,161,68,2,1.121578947368421,1.9365789473684212,-0.8150000000000002,11.921052631578947,3.9210526315789473,11.131578947368421,1.7894736842105263,0.05263157894736842,7.505518763796909,0.6842105263157895
2018/19,Huddersfield,38,3,7,28,16,22,76,-54,400,118,420,162,55,4,0.7631578947368421,1.7681578947368422,-1.005,10.526315789473685,3.1052631578947367,11.052631578947368,1.4473684210526316,0.10526315789473684,5.5,0.42105263157894735
2019/20,Liverpool,38,32,3,3,99,85,33,52,590,231,331,258,38,1,1.9786842105263158,1.0413157894736842,0.9373684210526316,15.526315789473685,6.078947368421052,8.710526315789474,1.0,0.02631578947368421,14.40677966101695,2.6052631578947367
2019/20,Man City,38,26,3,9,81,102,35,67,745,263,361,298,60,4,2.689736842105263,0.9736842105263158,1.7160526315789473,19.605263157894736,6.921052631578948,9.5,1.5789473684210527,0.10526315789473684,13.691275167785236,2.1315789473684212
2019/20,Chelsea,38,20,6,12,66,69,54,15,625,223,386,247,60,0,2.0060526315789473,1.0813157894736842,0.9247368421052631,16.44736842105263,5.868421052631579,10.157894736842104,1.5789473684210527,0.0,11.04,1.736842105263158
2019/20,Man United,38,18,12,8,66,66,36,30,543,216,433,204,72,0,1.7418421052631579,1.0015789473684211,0.7402631578947367,14.289473684210526,5.684210526315789,11.394736842105264,1.894736842105263,0.0,12.154696132596685,1.736842105263158
2019/20,Leicester,38,18,8,12,62,67,41,26,537,190,418,222,41,3,1.6057894736842107,1.2602631578947368,0.3455263157894739,14.131578947368421,5.0,11.0,1.0789473684210527,0.07894736842105263,12.476722532588454,1.631578947368421
2019/20,Tottenham,38,16,11,11,59,61,47,14,445,160,423,200,82,3,1.29,1.4244736842105263,-0.1344736842105263,11.710526315789474,4.2105263157894735,11.131578947368421,2.1578947368421053,0.07894736842105263,13.707865168539326,1.5526315789473684
2019/20,Wolves,38,15,14,9,59,51,40,11,459,145,406,193,57,2,1.426842105263158,0.9839473684210527,0.44289473684210523,12.078947368421053,3.8157894736842106,10.68421052631579,1.5,0.05263157894736842,11.11111111111111,1.5526315789473684
2019/20,Arsenal,38,14,14,10,56,56,48,8,410,151,421,231,86,5,1.3373684210526315,1.506578947368421,-0.16921052631578948,10.789473684210526,3.973684210526316,11.078947368421053,2.263157894736842,0.13157894736842105,13.658536585365855,1.4736842105263157
2019/20,Burnley,38,15,9,14,54,43,50,-7,388,134,412,171,67,0,1.2986842105263159,1.416842105263158,-0.11815789473684202,10.210526315789474,3.526315789473684,10.842105263157896,1.763157894736842,0.0,11.082474226804123,1.4210526315789473
2019/20,Sheffield United,38,14,12,12,54,39,39,0,354,115,410,212,61,2,1.2055263157894738,1.3694736842105264,-0.16394736842105262,9.31578947368421,3.026315789473684,10.789473684210526,1.605263157894737,0.05263157894736842,11.016949152542372,1.4210526315789473
2019/20,Southampton,38,15,7,16,52,51,60,-9,500,181,450,210,53,4,1.486842105263158,1.4892105263157895,-0.002368421052631575,13.157894736842104,4.7631578947368425,11.842105263157896,1.394736842105263,0.10526315789473684,10.2,1.368421052631579
2019/20,Everton,38,13,10,15,49,44,56,-12,470,162,472,203,70,3,1.413421052631579,1.295,0.11842105263157898,12.368421052631579,4.2631578947368425,12.421052631578947,1.8421052631578947,0.07894736842105263,9.361702127659575,1.2894736842105263
2019/20,Newcastle,38,11,11,16,44,38,58,-20,395,131,370,151,65,3,0.9602631578947369,1.7639473684210527,-0.8036842105263158,10.394736842105264,3.4473684210526314,9.736842105263158,1.7105263157894737,0.07894736842105263,9.620253164556962,1.1578947368421053
2019/20,Crystal Palace,38,11,10,17,43,31,50,-19,376,120,425,177,61,2,0.9065789473684212,1.5102631578947368,-0.6036842105263156,9.894736842105264,3.1578947368421053,11.18421052631579,1.605263157894737,0.05263157894736842,8.24468085106383,1.131578947368421
2019/20,Brighton,38,9,14,15,41,39,54,-15,461,142,385,178,56,2,1.2478947368421054,1.59,-0.3421052631578947,12.131578947368421,3.736842105263158,10.131578947368421,1.4736842105263157,0.05263157894736842,8.459869848156181,1.0789473684210527
2019/20,West Ham,38,10,9,19,39,49,62,-13,417,163,387,190,62,1,1.2913157894736842,1.797894736842105,-0.5065789473684208,10.973684210526315,4.2894736842105265,10.18421052631579,1.631578947368421,0.02631578947368421,11.750599520383693,1.0263157894736843
