Team,Matches_Played,Points,Predicted_Points_Per_Match,Predicted_Season_Points,Performance_Target,Historical_Seasons,Total_Performance_Impact,Gap_to_Top_6,Gap_to_Top_5,Gap_to_Champion,Shots_On_Target_Per_Match_Current,Shot_Conversion_Percentage_Current,Fouls_Per_Match_Current,Yellow_Cards_Per_Match_Current,Red_Cards_Per_Match_Current,xG_Difference_Per_Match_Current,Shots_On_Target_Per_Match_Historical,Shot_Conversion_Percentage_Historical,Fouls_Per_Match_Historical,Yellow_Cards_Per_Match_Historical,Red_Cards_Per_Match_Historical,xG_Difference_Per_Match_Historical,Shots_On_Target_Per_Match_Difference,Shot_Conversion_Percentage_Difference,Fouls_Per_Match_Difference,Yellow_Cards_Per_Match_Difference,Red_Cards_Per_Match_Difference,xG_Difference_Per_Match_Difference,Biggest_Positive_Factor,Positive_Impact,Biggest_Negative_Factor,Negative_Impact,Recommendation
Man United,3,4,2.0302080589522085,77.14790624018391,Top 5 Contender,10.0,0.41762240468485234,0.0,0.0,14.852093759816086,6.333333333333333,10.294117647058822,9.0,1.6666666666666667,0.0,1.0261996523477133,5.336842105263157,11.225480243387372,11.155263157894737,1.9131578947368422,0.04736842105263156,0.34942105263157897,0.9964912280701759,-0.9313625963285492,-2.155263157894737,-0.24649122807017543,-0.04736842105263156,0.6767785997161343,xG_Difference_Per_Match,0.30644142757659504,Shot_Conversion_Percentage,-0.0474109451741182,Improve finishing efficiency and convert a higher proportion of shots into goals.
Sunderland,3,4,1.3582683086184177,51.614195727499876,Below Historical Qualification Targets,2.0,0.4716309906339238,11.385804272500124,15.385804272500124,40.385804272500124,4.333333333333333,8.108108108108109,11.0,1.6666666666666667,0.0,0.23218237577627066,3.25,9.063225722042326,11.105263157894736,2.052631578947368,0.09210526315789469,-0.64,1.083333333333333,-0.9551176139342168,-0.10526315789473628,-0.3859649122807014,-0.09210526315789469,0.8721823757762707,xG_Difference_Per_Match,0.39491912488386993,Shot_Conversion_Percentage,-0.04862019261625536,Improve finishing efficiency and convert a higher proportion of shots into goals.
Crystal Palace,3,3,1.2877721690601405,48.93534242428534,Below Historical Qualification Targets,10.0,0.03710592778518454,14.064657575714662,18.064657575714662,43.06465757571466,3.3333333333333335,13.333333333333334,10.0,0.6666666666666666,0.0,-0.4104482649515069,3.855263157894737,10.447613262115231,11.173684210526316,1.8,0.04736842105263156,-0.12965789473684208,-0.5219298245614037,2.8857200712181026,-1.173684210526316,-1.1333333333333333,-0.04736842105263156,-0.2807903702146648,Shot_Conversion_Percentage,0.14689737017967053,xG_Difference_Per_Match,-0.12714025226925507,Improve the balance between chance creation and chance prevention - either create higher-quality chances or tighten up defensively.
Ipswich,3,3,1.0316900050448743,39.204220191705225,Below Historical Qualification Targets,1.0,0.36491378013592024,23.795779808294775,27.795779808294775,52.795779808294775,4.333333333333333,12.121212121212121,10.0,1.3333333333333333,0.0,-1.0030145921433962,3.3421052631578947,9.574468085106384,11.31578947368421,2.210526315789474,0.131578947368421,-1.1397368421052634,0.9912280701754383,2.5467440361057374,-1.3157894736842106,-0.8771929824561406,-0.131578947368421,0.13672224996186721,Shot_Conversion_Percentage,0.1296418197856508,Yellow_Cards_Per_Match,-0.004707887641287843,Reduce disciplinary issues and avoid unnecessary yellow cards.
Bournemouth,3,2,1.2944345191355908,49.18851172715245,Below Historical Qualification Targets,8.0,0.01993270240062011,13.811488272847548,17.811488272847548,42.81148827284755,4.666666666666667,10.256410256410255,13.0,2.6666666666666665,0.0,-0.08050529379397653,4.276315789473684,10.776475914300606,10.792763157894736,1.881578947368421,0.0526315789473684,-0.19973684210526316,0.3903508771929829,-0.5200656578903509,2.2072368421052637,0.7850877192982455,-0.0526315789473684,0.11923154831128663,xG_Difference_Per_Match,0.05398735405050277,Fouls_Per_Match,-0.06668935318266962,Reduce unnecessary fouls and improve defensive discipline.
Nott'm Forest,3,2,1.0150180550341106,38.5706860912962,Below Historical Qualification Targets,4.0,-0.1801893818979774,24.429313908703797,28.429313908703797,53.4293139087038,2.3333333333333335,5.555555555555555,15.666666666666666,2.0,0.0,0.37927672499790765,3.8684210526315788,10.950465855306593,10.993421052631579,2.0,0.03289473684210525,-0.34177631578947365,-1.5350877192982453,-5.394910299751038,4.673245614035087,0.0,-0.03289473684210525,0.7210530407873813,xG_Difference_Per_Match,0.3264886378942964,Shot_Conversion_Percentage,-0.27462751612429304,Improve finishing efficiency and convert a higher proportion of shots into goals.
Aston Villa,3,1,0.0,0.0,Below Historical Qualification Targets,7.0,-1.6120666274284279,63.0,67.0,92.0,0.3333333333333333,0.0,11.0,2.0,0.3333333333333333,-1.3782566254958506,4.43609022556391,11.62086122670534,10.924812030075188,1.9248120300751879,0.0526315789473684,-0.08917293233082701,-4.102756892230577,-11.62086122670534,0.07518796992481214,0.07518796992481214,0.2807017543859649,-1.2890836931650236,Yellow_Cards_Per_Match,0.0004035332263961013,Shot_Conversion_Percentage,-0.5915590948866134,Improve finishing efficiency and convert a higher proportion of shots into goals.
Tottenham,3,1,0.2795841520255007,10.624197776969027,Below Historical Qualification Targets,10.0,-1.37463399738538,52.37580222303097,56.37580222303097,81.37580222303097,3.3333333333333335,0.0,14.333333333333334,1.3333333333333333,0.0,-0.8568022848727801,5.121052631578947,13.039100021110016,11.042105263157895,1.85,0.05789473684210524,0.2763157894736842,-1.7877192982456136,-13.039100021110016,3.291228070175439,-0.5166666666666668,-0.05789473684210524,-1.1331180743464642,Red_Cards_Per_Match,0.030175796353770906,Shot_Conversion_Percentage,-0.66375443748507,Improve finishing efficiency and convert a higher proportion of shots into goals.
Fulham,3,0,1.0244542240760797,38.92926051489103,Below Historical Qualification Targets,6.0,-0.07680835008856009,24.070739485108973,28.070739485108973,53.07073948510897,4.0,8.0,11.0,1.3333333333333333,0.0,-0.43715199641883373,4.048245614035087,9.595103657005156,11.175438596491228,1.9561403508771928,0.0570175438596491,-0.3843859649122808,-0.048245614035087314,-1.595103657005156,-0.17543859649122773,-0.6228070175438596,-0.0570175438596491,-0.05276603150655296,Red_Cards_Per_Match,0.02971858731810771,Shot_Conversion_Percentage,-0.08119863555550083,Improve finishing efficiency and convert a higher proportion of shots into goals.
Coventry,3,0,0.4240511080196967,16.113942104748475,Below Historical Qualification Targets,0.0,-0.9597646814539879,46.886057895251525,50.886057895251525,75.88605789525153,2.3333333333333335,0.0,13.666666666666666,1.3333333333333333,0.0,-0.4268548606584468,4.395789473684211,11.010045996359747,10.733157894736841,1.7532894736842104,0.057499999999999975,9.210526315801549e-06,-2.062456140350877,-11.010045996359747,2.9335087719298247,-0.41995614035087714,-0.057499999999999975,-0.4268640711847626,Red_Cards_Per_Match,0.029970052287722468,Shot_Conversion_Percentage,-0.5604655900458676,Improve finishing efficiency and convert a higher proportion of shots into goals.
